,Salary,Sector,sales,roe,ros
0,448,Utility,1411.7,14.0,14
1,1067,Finance,19020.5,9.3,4
2,256,Industry,526.3,22.7,175
3,568,Industry,11436.0,10.2,-19
4,1910,Utility,6964.0,14.0,43
5,775,Industry,2210.3,19.6,34
6,1627,Cons_prod,8270.3,19.4,104
7,1078,Industry,2266.7,16.4,62
8,1161,Cons_prod,7177.0,42.2,68
9,626,Utility,1442.5,14.4,62
10,808,Utility,7198.5,14.7,49
11,1694,Cons_prod,3322.9,24.8,100
12,1082,Cons_prod,11232.0,25.7,101
13,1489,Cons_prod,25848.0,21.7,114
14,803,Utility,4178.6,10.7,52
15,874,Industry,4648.1,17.7,-6
16,720,Utility,1771.9,14.5,78
17,1159,Finance,4293.8,16.9,107
18,600,Finance,4068.7,12.8,-6
19,709,Industry,719.5,18.3,65
20,1774,Industry,7727.9,19.3,19
21,1026,Finance,2170.3,12.4,162
22,1045,Cons_prod,2917.4,11.6,203
23,1368,Industry,13538.0,15.0,-43
24,916,Industry,2940.5,16.4,105
25,1339,Industry,40047.0,14.8,41
26,658,Utility,4542.6,12.1,68
27,1368,Industry,21783.2,13.8,56
28,996,Cons_prod,6623.0,10.1,10
29,1820,Finance,1796.1,22.8,115
30,829,Industry,2158.8,15.9,-18
31,967,Cons_prod,5781.1,28.5,119
32,555,Utility,2023.0,13.7,60
33,1351,Finance,4211.9,9.0,-4
34,439,Utility,2617.1,10.8,65
35,1070,Industry,1072.6,19.5,269
36,1781,Cons_prod,5191.6,27.0,98
37,1220,Industry,8995.0,15.4,28
38,1550,Finance,11213.4,3.5,6
39,918,Cons_prod,29797.0,6.4,-28
40,741,Finance,4879.9,11.1,-26
41,3142,Cons_prod,10236.3,35.7,155
42,2092,Cons_prod,7671.5,43.7,80
43,912,Finance,2626.4,16.4,70
44,2150,Finance,5869.6,22.1,68
45,1585,Cons_prod,4686.9,35.1,111
46,1195,Industry,6285.0,20.3,49
47,567,Industry,596.8,25.9,109
48,1401,Cons_prod,12183.5,19.6,93
49,1568,Cons_prod,5181.4,28.2,55
50,1231,Cons_prod,6503.1,26.8,84
51,953,Finance,1320.4,17.5,83
52,797,Industry,2401.2,16.9,39
53,729,Cons_prod,1391.3,22.6,32
54,782,Industry,1976.7,15.9,24
55,360,Cons_prod,298.7,2.1,302
56,1340,Cons_prod,1368.6,16.1,115
57,1261,Cons_prod,5225.5,12.4,1
58,780,Industry,1736.0,19.9,23
59,543,Industry,1873.1,10.3,-58
60,1593,Industry,20659.0,14.9,16
61,1115,Utility,8205.0,7.1,23
62,1344,Cons_prod,3032.7,22.3,36
63,1342,Industry,6222.2,10.9,59
64,1700,Cons_prod,6775.2,44.4,61
65,1127,Cons_prod,7863.5,16.2,152
66,991,Finance,2518.6,15.3,65
67,800,Utility,3372.0,6.7,60
68,543,Cons_prod,2669.3,30.5,323
69,791,Cons_prod,976.7,19.9,89
70,1360,Finance,2688.2,15.1,67
71,894,Industry,1534.0,19.2,74
72,922,Industry,1452.7,19.9,56
73,717,Industry,1413.6,25.0,56
74,833,Finance,1073.2,24.6,51
75,1798,Finance,24332.0,15.5,2
76,1095,Industry,27595.0,14.1,191
77,427,Industry,3072.1,12.4,61
78,1594,Cons_prod,2761.9,15.0,85
79,223,Cons_prod,181.5,22.7,295
80,1631,Utility,4617.0,11.8,75
81,1170,Industry,2576.0,17.3,93
82,1900,Cons_prod,17802.7,23.2,142
83,775,Industry,3195.6,14.8,12
84,412,Utility,2225.5,10.1,13
85,1142,Finance,2577.3,15.4,56
86,1145,Industry,6021.4,20.0,55
87,833,Industry,2830.0,26.3,37
88,1619,Cons_prod,7632.8,11.0,32
89,732,Utility,4800.1,12.9,36
90,11233,Cons_prod,6047.9,22.9,74
91,931,Industry,10885.0,12.7,10
92,905,Industry,1066.3,20.4,141
93,1892,Finance,2659.5,8.6,126
94,911,Finance,2682.4,16.5,23
95,595,Finance,1919.7,14.2,61
96,875,Finance,5333.1,6.8,-8
97,577,Industry,3043.6,18.1,1
98,688,Utility,2357.9,7.4,33
99,1287,Industry,16951.0,10.0,-21
