,Salary,Sector,sales,roe,ros
0,933,Industry,19773.0,26.8,-10
1,1688,Industry,12343.0,14.4,15
2,833,Finance,1073.2,24.6,51
3,11233,Cons_prod,6047.9,22.9,74
4,1738,Cons_prod,10743.6,23.6,36
5,937,Industry,2513.8,22.3,44
6,516,Industry,649.2,13.7,27
7,815,Industry,1651.9,15.1,33
8,688,Utility,2357.9,7.4,33
9,1585,Industry,6754.0,12.6,17
10,543,Industry,1873.1,10.3,-58
11,1411,Finance,6703.1,11.1,28
12,931,Industry,10885.0,12.7,10
13,890,Cons_prod,2612.6,15.6,-14
14,808,Utility,7198.5,14.7,49
15,1407,Industry,2762.8,13.2,28
16,1231,Cons_prod,6503.1,26.8,84
17,634,Utility,5738.9,12.7,38
18,1431,Cons_prod,6896.2,43.9,110
19,1058,Industry,3199.9,1.9,-15
20,803,Utility,4178.6,10.7,52
21,1287,Industry,16951.0,10.0,-21
22,1619,Cons_prod,7632.8,11.0,32
23,922,Industry,1452.7,19.9,56
24,1195,Industry,6285.0,20.3,49
25,1100,Utility,9470.1,7.3,82
26,600,Finance,4068.7,12.8,-6
27,626,Utility,1442.5,14.4,62
28,720,Utility,1771.9,14.5,78
29,717,Industry,1413.6,25.0,56
30,797,Industry,2401.2,16.9,39
31,833,Industry,2830.0,26.3,37
32,829,Industry,1669.1,17.1,64
33,729,Cons_prod,1391.3,22.6,32
34,1820,Finance,1796.1,22.8,115
35,595,Finance,1919.7,14.2,61
36,959,Utility,3783.2,14.6,65
37,1351,Finance,4211.9,9.0,-4
38,1130,Cons_prod,1686.3,44.5,99
39,694,Utility,3532.5,12.6,37
40,911,Finance,2682.4,16.5,23
41,1336,Industry,5155.1,13.8,7
42,1237,Industry,4570.2,10.5,37
43,775,Industry,2210.3,19.6,34
44,525,Utility,1097.1,15.5,72
45,930,Utility,1509.1,9.0,131
46,476,Industry,611.3,16.2,40
47,829,Industry,2158.8,15.9,-18
48,1946,Cons_prod,8388.1,13.1,88
49,453,Cons_prod,175.2,26.2,418
50,1170,Industry,2576.0,17.3,93
51,1145,Industry,6021.4,20.0,55
52,925,Finance,3296.2,12.4,-21
53,4143,Finance,2678.4,14.4,42
54,3068,Cons_prod,3825.6,21.5,142
55,1022,Industry,1212.3,38.7,83
56,2327,Industry,3598.8,28.1,104
57,1342,Industry,6222.2,10.9,59
58,782,Industry,1976.7,15.9,24
59,520,Utility,3681.5,12.8,64
60,2109,Finance,9944.4,11.6,23
61,333,Utility,2388.7,13.8,59
62,1082,Cons_prod,11232.0,25.7,101
63,1160,Industry,4319.7,16.1,-2
64,1026,Finance,2170.3,12.4,162
65,3844,Industry,20604.0,12.1,18
66,995,Cons_prod,1323.0,15.4,195
67,787,Utility,5167.5,13.7,34
68,1593,Industry,20659.0,14.9,16
69,2028,Industry,69018.0,12.6,10
70,991,Finance,2518.6,15.3,65
71,1053,Cons_prod,3639.0,17.6,5
72,3646,Cons_prod,3921.5,7.8,29
73,1631,Utility,4617.0,11.8,75
74,1360,Finance,2688.2,15.1,67
75,1045,Cons_prod,2917.4,11.6,203
76,730,Cons_prod,1110.6,29.5,60
77,1097,Finance,2772.1,8.9,20
78,1620,Cons_prod,17453.8,19.4,128
79,1245,Finance,12222.8,19.0,52
80,1070,Industry,1072.6,19.5,269
81,1344,Cons_prod,3032.7,22.3,36
82,1750,Finance,14932.1,15.9,62
83,2408,Cons_prod,44323.0,29.1,160
84,578,Industry,16246.0,5.9,-21
85,916,Industry,2940.5,16.4,105
86,1900,Cons_prod,17802.7,23.2,142
87,1573,Cons_prod,6406.0,16.4,87
88,1340,Cons_prod,1368.6,16.1,115
89,500,Utility,2616.3,11.9,25
90,800,Utility,3372.0,6.7,60
91,1078,Industry,2266.7,16.4,62
92,3142,Cons_prod,10236.3,35.7,155
93,732,Utility,4800.1,12.9,36
94,1391,Finance,8489.6,9.4,26
95,1221,Cons_prod,97649.9,15.1,-7
96,612,Finance,3618.9,33.3,68
97,223,Cons_prod,181.5,22.7,295
98,2248,Cons_prod,764.7,40.8,191
99,14822,Cons_prod,2159.2,19.4,17
